R28045	P15259	R27853
R57898	P31024	L127663
R28234	P15269	R28153
R65313	P33151	L209495
R4308	P27	L255
R23436	P27	L45633
R54853	P31	R54854
R58095	HAS_RESULTS	R51089
R54548	P30001	L105162
R57902	P31	R57903
R63444	P33132	L187405
R57715	P27	L125647
R66193	P33146	L220050
R54229	P31024	L102129
R41564	P32	R41602
R62078	P33138	L171019
R67143	P33146	L231450
R68318	P34015	R68327
R34140	P30	R11
R55119	P9040	L110008
R57281	P31	R57283
R66454	P33150	L223186
R66446	P33144	L223084
R52100	P29	L95808
R58731	P33046	L134684
R27992	P27	L56349
R64524	P33147	L200044
R39049	P27032	R49425
R62743	P33131	L178992
R56132	P27	L112665
R58737	P33043	L134741
R64447	P33149	L199122
R44556	TemplateComponentOccurrenceMin	L83220
R64127	P33145	L195278
R34839	P30	R11
R56185	P33010	L113116
R66400	P33152	L222540
R44953	P30	R343
R62744	P33134	L179007
R67513	P33144	L235888
R63082	P33134	L183063
R63432	P33138	L187267
R56978	P30004	L120073
R58885	P33043	L136221
R65560	P33141	L212449
R68432	P34015	R68327
R67599	P33145	L236921
R70651	P30018	R70652
R32369	P31	R32370
R31247	P31	R31248
R70604	P23156	L242801
R65300	P33147	L209335
R58608	P33041	L133449
R32647	P15522	L66733
R57964	P27	L128414
R63743	P33139	L191000
R58807	P33041	L135439
R51532	P5103	L94702
R63097	P33133	L183242
R61269	P33137	L161310
R65112	P33152	L207084
R49479	TemplateComponentOccurrenceMax	L90731
R56943	P29	L119762
R67080	P33144	L230692
R60423	P33138	L151159
R66454	P33145	L223181
R59333	P33050	L140708
R6745	P2006	R6558
R9548	P29	L9276
R63566	P33136	L188873
R57697	P33037	L125461
R50557	contains	R50562
R54478	P32	R54245
R58383	P33046	L131204
R58507	P33047	L132445
R64082	P33144	L194737
R54218	P26	L102017
R66060	P33141	L218449
R58577	P33046	L133144
R46156	P30	R122
R28378	P15269	R28208
R63050	P33130	L182675
R56421	P31024	L115063
R54031	P27030	L100190
R56870	P32	R56530
R53203	P31001	L97632
R64085	P33148	L194777
R64189	P33143	L196020
R64994	P33150	L205666
R56795	HAS_VENUE	R1012
R6626	P15	R6628
R33707	P31	R33767
R64854	P33143	L203979
R65459	P33146	L211242
R64566	P33142	L200543
R29711	P28	L59923
R46430	P25032	R46431
R70031	P29005	R70039
R70015	P18061	R70018
R29012	compareContribution	R29007
R59099	P33043	L138361
R32847	P29	L67592
R63373	P33133	L186554
R57110	P31024	L121339
R63092	P33129	L183178
R59553	P33042	L142900
R48365	P26002	R48366
R59203	P33041	L139399
R57651	P15068	L124940
R62143	P33135	L171796
R62276	P33130	L173387
R65999	P33151	L217727
R33877	P27	L70977
R67477	P33151	L235463
R54762	P31024	L107284
R57388	P33014	L123949
R70095	P18065	R70100
R23293	P7159	L45024
R4893	P1005	R4901
R59988	P33097	L146734
R67210	P33150	L232258
R66965	P33146	L229314
R63472	P33131	L187740
R32385	P30	R11
R62134	P33136	L171689
R64464	P33149	L199326
R64894	P33148	L204464
R27877	P15260	L56150
R33544	P28	L69848
R65062	P33147	L206479
R58794	P33043	L135311
R56457	P9040	L115347
R33669	P27	L70205
R60752	P2005	R60165
R60308	P33133	L149774
R29381	P15344	R29378
R66517	P33148	L223940
R65687	P33144	L213976
R44947	P31	R44948
R59699	P33046	L144364
R63212	P33135	L184624
R62136	P33140	L171717
R65219	P33143	L208359
R51482	P29016	L94665
R64970	P33152	L205380
R67588	P33141	L236785
R53295	HAS_VENUE	R1012
R46082	P27	L86098
R64271	P33152	L197013
R34747	P15686	L73550
R57810	P31024	L126679
R57053	P30	R50
R62504	P33129	L176122
R49244	TemplateComponent	R49248
R61481	P33130	L163847
R25583	compareContribution	R25544
R66250	P33143	L220731
R25300	P26	L47105
R12210	P27	L12112
R58921	P33043	L136581
R30967	P15389	R30864
R26063	compareContribution	R26060
R66025	P33144	L218032
R64742	P33151	L202664
R50522	P26	L92605
R65242	P33147	L208639
R67475	P2005	R63783
R61217	P33140	L160689
R67299	P33152	L233328
R53341	P30004	L98686
R66798	P33147	L227311
R65811	P33148	L215468
R56792	P33008	L118380
R12	P36	R65
R64125	P33144	L195253
R25805	P15084	L49391
R56642	P27	L117006
R63295	P33131	L185616
R62996	P33140	L182037
R56582	P27030	L116430
R32892	P15072	L68040
R51173	P26	L94256
R57937	P30	R50
R54185	P30004	L101696
R56252	P33009	L113681
R65735	P33147	L214555
R63886	P33144	L192385
R23465	P7120	L45750
R56321	P30	R50
R25295	P15038	L47072
R43037	compareContribution	R43034
R60983	P33137	L157878
R65250	P33142	L208730
R61115	P33129	L159454
R50771	HAS_RESULTS	R50774
R38877	P25072	L88102
R27599	P32	R27485
R64644	P33141	L201478
R28791	P15293	R28617
R62805	P33140	L179745
R54526	P9040	L104945
R64297	P33150	L197323
R56487	P30001	L115597
R57884	P33037	L127514
R62998	P33138	L182059
R44525	P23119	L83123
R59548	P33042	L142850
R61082	P33139	L159068
R52100	P31	R52101
R27716	P32	R27485
R61227	P33137	L160806
R54231	P31024	L102148
R34674	P26	L73285
R26830	P27	L53369
R58391	P33043	L131281
R44954	P23163	L84237
R60235	P33132	L148897
R31336	P29	L62848
R63183	P33134	L184275
R54244	compareContribution	R54043
R54073	P30004	L100609
R60581	P33133	L153050
R68125	compareContribution	R67809
R67754	P30	R69
R34395	P15649	L72367
R67165	P33146	L231714
R61745	P33136	L167021
R54807	P27030	L107719
R69642	P34075	R69570
R63414	P33133	L187046
R61763	P33131	L167232
R70040	P18058	R70223
R60475	P33135	L151780
R60070	P33107	L147416
R66848	P2005	R63783
R53212	P27	L97720
R33281	P15592	R33203
R25898	P27	L50111
R59268	P33041	L140049
R38051	P18003	R38054
R64842	P33144	L203836
R55111	P32	R54953
R33773	P15603	L70748
R55219	compareContribution	R55135
R32619	P28	L66620
R65210	P33148	L208256
R51399	P29009	R51248
R60819	P33138	L155911
R8292	P7036	R8279
R26598	P31	R26734
R31477	P15424	L63033
R33583	P26	L69867
R56962	P27030	R49273
R54629	P9040	L105952
R61649	P33134	L165867
R41129	P9022	L79240
R34709	P31	R34728
R59213	P33048	L139506
R56091	P30001	L112356
R53343	P31005	L98696
R50158	hasContent	L92238
R54197	P27030	L101808
R63378	P33129	L186610
R63383	P33130	L186671
R26035	P28	L51038
R6829	P5076	L5393
R56583	P27	L116442
R54373	P30004	L103477
R54511	P29012	L104801
R12273	P15698	R41015
R66571	P33150	L224590
R57407	P33017	R57426
R54649	P27	L106162
R68784	HAS_RESULTS	R68286
R62545	P33132	L176617
R67341	P33141	L233821
R64247	P33145	L196718
R46158	P29	L86504
R34303	P28	L72076
R62836	P33136	L180113
R57366	P31005	L123745
R28414	P30	R11
R62583	P33131	L177072
R61244	P33139	L161012
R31712	P15449	L63712
R58766	P33046	L135034
R60794	P33132	L155605
R34174	P15633	L71742
R63318	P33134	L185895
R66306	P33143	L221403
R28851	P27	L58342
R25726	compareContribution	R25705
R59029	P33050	L137668
R62643	P33131	L177792
R61693	P33135	L166396
R65186	P33152	L207972
R32391	P27	L65965
R44215	P18018	R44216
R32210	P30	R11
R43039	P27	L81626
R54492	HAS_VENUE	R1012
R68085	P32121	R68088
R66460	P33141	L223249
R66628	P33151	L225275
R46748	P18023	R46774
R54505	P30002	L104747
R28398	P26	L57183
R52235	TemplateComponentOrder	L96357
R31700	P15439	L63541
R61417	P33132	L163081
R8170	P7031	L8135
R66627	P33146	L225258
R23328	P26039	R23331
R64504	P33145	L199802
R62195	P33130	L172415
R26184	P27	L51853
R56604	P33008	L116634
R57148	P27	L121685
R65382	P33144	L210316
R48246	TemplateComponentOccurrenceMin	L89303
R59745	P33054	L144611
R51404	P18058	R59701
R60645	P33139	L153824
R65168	P33141	L207745
R65479	P33141	L211477
R61367	P33135	L162484
R56123	P9040	L112576
R26409	P27	L52369
R28867	P15290	L58373
R69984	P18063	R69986
R31146	P15395	R31145
R59978	P33096	L146613
R66980	P33144	L229492
R27752	P15257	R27727
R6120	P5002	R6020
R65338	P2005	R63783
R54495	P30002	L104651
R58568	P33042	L133050
R25681	P15073	R25680
R58362	P33047	L130995
R64421	P33144	L198805
R63846	P33144	L191905
R57163	P27	L121827
R26728	P15171	R26698
R66312	P33145	L221477
R29213	P15328	R29125
R67397	P33147	L234499
R65813	P33151	L215495
R65817	P33141	L215533
R66372	P33143	L222195
R60076	P4007	R60077
R4796	P29	R4815
R56194	P30001	L113193
R67171	P33152	L231792
R64592	P33141	L200854
R63132	P33134	L183663
R66912	P33144	L228676
R64475	P33151	L199460
R60539	P33129	L152542
R60321	P33135	L149932
R63991	P33147	L193648
R65898	P33151	L216515
R46068	P27	L86002
R4333	P4018	L3137
R64546	P33150	L200311
R32424	compareContribution	R32414
R25857	compareContribution	R25856
R58879	P2005	R58159
R63825	P33145	L191654
R57034	P9040	L120635
R65543	P33150	L212254
R58721	P33041	L134579
R51362	TemplateComponent	R51378
R46679	P23103	R46520
R62260	P33136	L173201
R70153	P18058	R51249
R67623	P31	R67624
R62362	P33135	L174424
R26897	P11	R26777
R26022	P15111	L50923
R64479	P33152	L199509
R69464	P27	L240055
R66712	P33145	L226277
R26427	P15154	R26425
R60543	P33132	L152593
R25932	P27	L50324
R61587	P33132	L165121
R28214	P27	L56845
R66458	P33146	L223230
R25110	P15008	L46304
R63738	P33135	L190936
R59503	P33047	L142405
R62825	P33132	L179977
R63193	P33138	L184399
R29371	P15341	R29362
R62380	P33139	L174644
R67238	P33149	L232593
R66705	P33144	L226192
R26758	P15157	R26610
R29144	P15332	L59135
R60854	P33135	L156328
R61506	P33131	L164148
R6706	P15	R6708
R66995	P33151	L229679
R67057	P33148	L230420
R58456	P33046	L131934
R27243	P15201	L54273
R61826	P33129	L167986
R61622	P33138	L165547
R57799	P31	R57800
R41122	P30	R122
R65789	P33146	L215202
R66428	P33147	L222871
R56485	P33008	L115575
R23511	P7159	L45924
R55111	P9040	L109931
R64103	P33145	L194990
R65731	P33141	L214501
R62479	P33130	L175823
R6932	P4006	R6928
R44799	P27	L83851
R34133	P15632	L71535
R28583	P27	L57828
R66915	P33148	L228716
R57684	P32	R57587
R59750	P33055	L144672
R41172	P5049	R12230
R64811	P33147	L203488
R44873	P27	R56113
R64157	P33142	L195635
R33840	P15607	R33837
R55083	HAS_VENUE	R1012
R64810	P33143	L203472
R60049	P33105	L147162
R58413	P33042	L131500
R25348	P27	L47352
R58352	P33048	L130896
R57288	P28	L123018
R6019	P33	R3074
R4563	P32	R4564
R26775	compareContribution	R26755
R66905	P33150	L228598
R34388	P15644	L72333
R63972	P33150	L193423
R53280	P32	R53278
R62876	P33129	L180586
R61464	P33132	L163645
R26401	P28	L52333
R68282	P31	R68800
R63555	P33132	L188737
R65828	P33151	L215675
R50548	TemplateComponentOrder	L92650
R61586	P33130	L165107
R64570	P33144	L200593
R54231	P9040	L102140
R44794	P23140	R44795
R27758	P15258	R313
R41008	P26	L79024
R59462	P33048	L141996
R63131	P33139	L183656
R67194	P33142	L232058
R25518	P15056	L47973
R63903	P33144	L192589
R34661	P15676	L73253
R65740	P33147	L214615
R23433	P7120	L45614
R54737	P27030	L107045
R60813	P33135	L155836
R65333	P33145	L209729
R51449	TemplateComponentOrder	L94648
R60917	P33131	L157080
R59897	P33078	L145872
R60259	P33140	L149193
R5198	P32	R4845
R63695	P33135	L190420
R54609	P31	R54610
R66667	P33144	L225736
R61141	P33129	L159766
R27318	P31	R27319
R32053	P32	R32030
R63403	P33139	L186920
R6318	P5022	R6208
R12251	reference	L12336
R61053	P33132	L158713
R63967	P33147	L193360
R66335	P33144	L221752
R70165	P18061	R69950
R36065	P16017	R36027
R44710	P23160	L83575
R69317	HAS_VENUE	R68980
R23436	P27	L45626
R67520	P33151	L235979
R54759	P27	L107254
R33205	P27	L69638
R56565	P29	L116276
R63814	P33149	L191526
R44700	HAS_VENUE	R1012
R29510	P15239	R29433
R67021	P33152	L229992
R63293	P33131	L185592
R65243	P33149	L208653
R59739	P33058	L144543
R57339	P30002	L123483
R61628	P33136	L165617
R63931	P33151	L192932
R8575	P29	L8633
R65229	P33152	L208488
R31494	P32	R31303
R56348	P33009	L114461
R65229	P33150	L208486
R62399	P33136	L174869
R29032	P28	L58879
R67607	P2005	R63783
R65759	P33151	L214847
R50390	P27	L92460
R26261	P15141	R26169
R58956	P33049	L136937
R64372	P33151	L198224
R31622	P15422	R31618
R57562	HAS_RESULTS	R50438
R54450	P31005	L104224
R56637	P15068	L116963
R60877	P33135	L156604
R30686	P27	L61463
R53249	HAS_VENUE	R1012
R5129	P26	L3448
R57638	P32	R57587
R65064	P2005	R63783
R59448	P33042	L141850
R65001	P33149	L205749
R41262	P20066	R41263
R49024	TemplateComponentOccurrenceMin	L90024
R4549	P4017	R4551
R65736	P33144	L214564
R57052	P33013	L120806
R32919	P15574	L68465
R23471	P27	L45758
R66769	P33152	L226968
R57181	P30	R50
R54641	P27030	L106080
R62569	P2005	R60165
R23385	P7159	L45450
R67610	P2005	R63783
R54724	P27030	L106916
R67392	P33144	L234436
R56808	P33011	L118529
R30017	P15345	R29391
R54411	P9040	L103844
R56813	P27	L118577
R57974	P30001	L128521
R41466	compareContribution	R41012
R25525	P26	L48025
R68825	P32	R68824
R70609	P15051	L242824
R23466	P7159	L45740
R63863	P33147	L192112
R65161	P33152	L207672
R31928	compareContribution	R31920
R65047	P2005	R63783
R60532	P33131	L152460
R64697	P33146	L202119
R56822	P27030	L118657
R23338	P27	L45226
R65906	P33149	L216609
R63539	P33135	L188548
R61718	P33132	L166693
R30333	P15341	R29424
R30745	P31	R30917
R43028	P22054	L81480
R57871	P31024	L127370
R8559	P26	L8615
R23501	P26032	L45906
R65622	P33151	L213203
R59533	P33047	L142705
R25694	compareContribution	R25690
R64788	P33148	L203213
R67191	P33143	L232023
R64928	P33151	L204875
R27984	P26	L56332
R25816	P28	L49509
R44700	P27	L83518
R66413	P33149	L222693
R56234	P30001	L113532
R29180	P15329	R29110
R28647	P29	L58152
R28380	P27	L57153
R67764	P30	R69
R25133	P27	L46394
R60050	P33112	L147181
R4341	P4017	R4343
R26871	P11	R26851
R39131	P15370	R45063
R66764	P33141	L226897
R61212	P33138	L160627
R60665	P33130	L154055
R67554	P33141	L236377
R25512	P32	R25496
R56567	P27	L116292
R60833	P33129	L156070
R59728	P33059	L144412
R64320	P33151	L197600
R26112	P15128	L51553
R25417	P15024	L47505
R65946	P33151	L217091
R64500	P33143	L199752
R65456	P33150	L211210
R29503	P15239	R29496
R34328	P27	L72127
R64944	P2005	R63783
R57980	P27	L128587
R58263	P33044	L130002
R25702	P5025	L48721
R33765	P32	R33634
R28185	P27	L56795
R65206	P2005	R63783
R60721	P33135	L154732
R65663	P33148	L213692
R57272	P30004	L122879
R69313	P32	R69049
R25857	compareContribution	R25821
R61439	P33134	L163347
R27357	P27	L54657
R64198	P2005	R63783
R66684	P33152	L225948
R59394	P33049	L141317
R54333	P30004	L103103
R54207	P30002	L101911
R33912	P31	R33913
R64026	P33145	L194066
R63653	P33130	L189911
R34605	compareContribution	R34586
R52310	compareContribution	R44861
R64653	P33152	L201597
R25349	P15039	L47360
R61136	P33130	L159707
R30877	P31	R31020
R31836	P15468	R31814
R58705	P2005	R58159
R66033	P33149	L218133
R61403	P33139	L162920
R66697	P33147	L226099
R44454	P29	L82562
R59572	P33047	L143095
R44557	TemplateStrict	L83379
R30766	P15380	L61780
R62384	P33130	L174683
R29202	P15328	R29200
R44937	TemplateComponentOccurrenceMin	L84164
R29042	P30	R11
R60980	P33130	L157835
R53261	P27	L98169
R62248	P33133	L173054
R33448	P15592	R33442
R44508	P23122	L82939
R58472	P33046	L132094
R62139	P33129	L171742
R30129	P15343	R30125
R61608	P33137	L165378
R38484	type	R10044
R63634	P33132	L189685
R57758	P31024	L126128
R64088	P2005	R63783
R67317	P33145	L233537
R66015	P33145	L217913
R64374	P33141	L198238
R68215	P34004	R68246
R62057	P33138	L170767
R62768	P33136	L179297
R64365	P33148	L198137
R66882	P2005	R63783
R59734	P33056	L144481
R26654	compareContribution	R26625
R59034	P33041	L137709
R61828	P33131	L168012
R60680	P33135	L154240
R56808	P27030	L118528
R50484	hasContent	L92558
R61567	P33133	L164882
R64401	P33149	L198570
R68644	P27	L238760
R8197	P32	R1032
R58911	P33041	L136479
R65781	P33152	L215112
R58739	P33050	L134768
R56169	P31024	L112981
R52005	P31	R52006
R55088	P29	L109737
R63010	P33134	L182199
R67523	P33141	L236005
R30056	P15340	L60198
R58451	P33046	L131884
R30476	compareContribution	R29599
R67438	P33147	L234991
R31121	P15395	R31108
R65986	P33141	L217561
R63266	P33135	L185272
R69461	HAS_RESULTS	R51054
R59058	P33050	L137958
R59624	P33048	L143616
R54983	P30002	L108756
R30478	P27	L60614
R59895	P33076	L145840
R64565	P33145	L200534
R30927	P15385	R30858
R70552	P31	R70553
R64534	P33142	L200159
R65110	P33142	L207050
R66681	P33148	L225908
R5230	P4016	R5252
R56450	P31	R56451
R34404	P15641	R34402
R64196	P33149	L196110
R64421	P33143	L198804
R64441	P33141	L199042
R57308	P30002	L123198
R70165	P18057	R38357
R60354	P33134	L150327
R61468	P33130	L163691
R32747	P31	R32748
R57341	P27	L123502
R59731	P33054	L144443
R44483	HAS_VENUE	R55232
R26916	P27	L53579
R66675	P33147	L225835
R57378	P29	L123862
R67352	P33150	L233962
R66790	P33142	L227210
R58307	P2005	R58159
R57206	P33014	L122232
R30476	compareContribution	R29988
R34214	P15640	L71844
R62477	P33136	L175805
R67509	P33145	L235841
R62853	P33137	L180318
R4723	P4016	R4728
R67340	P33148	L233816
R59513	P33043	L142501
R67683	P27	L237215
R60484	P33137	L151890
R65858	P33145	L216029
R30687	P32	R30650
R63693	P33139	L190400
R34367	P15648	R34365
R272	P36	R274
R33839	P27	L70908
R31663	P32	R31303
R62258	P33131	L173172
R60792	P33138	L155587
R63096	P33140	L183237
R61192	P33140	L160389
R50310	contains	R50299
R57744	P30004	L125967
R58447	P33043	L131841
R57113	HAS_VENUE	R1012
R64374	P33149	L198246
R57222	P30002	L122392
R64732	P33142	L202535
R64128	P33143	L195288
R34099	compareContribution	R34023
R56765	P32	R56530
R64944	P33151	L205067
R68289	P32	R68281
R62468	P33139	L175700
R59039	P33044	L137762
R63230	P33137	L184842
R25481	P27	L47762
R56957	HAS_VENUE	R1012
R54070	P27	L100578
R58850	P33050	L135878
R46534	HAS_VENUE	R1012
R6142	P5001	R6005
R66619	P33144	L225160
R28013	P2001	R28011
R60296	P33138	L149635
R27885	P15259	R27882
R4329	P3	R10
R62137	P33138	L171727
R69548	P32	R69529
R67571	P33142	L236582
R6162	P32	R6000
R38084	P18008	L76110
R44956	P23161	L84254
R57217	P27030	R49276
R61206	P33139	L160556
R32114	P15499	R32069
R32668	P32	R32545
R54939	P32124	L108474
R67143	P33150	L231454
R60617	P2005	R60165
R58372	P33041	L131089
R57377	P32	R57102
R64784	P33145	L203162
R61015	P33140	L158265
R58477	P33044	L132142
R23370	P7159	L45381
R36079	P16018	R5048
R63023	P33136	L182357
R6684	P5046	L4976
R57992	P29	L128729
R66942	P33145	L229037
R63896	P33142	L192503
R54620	P26	L105865
R65955	P33152	L217200
R34617	P27	L72829
R31515	P27	L63082
R63080	P33135	L183040
R63437	P33138	L187327
R61695	P33137	L166422
R64277	P33143	L197076
R41605	P27	L79664
R28402	P15269	R28400
R60377	P33135	L150604
R53403	P29012	L99064
R6289	P5021	R6197
R56499	P27030	L115690
R65107	P33152	L207024
R25970	P15097	L50547
R57297	P27030	R49276
R31896	P15474	L64669
R67505	P33144	L235792
R55125	P29	L110070
R65646	P33143	L213483
R59482	P33048	L142196
R63744	P33136	L191009
R61064	P33131	L158844
R66885	P33141	L228349
R63659	P33129	L189982
R63728	P33139	L190820
R58918	P33047	L136555
R32133	P27	L65588
R27685	P29	L55806
R64076	P33150	L194671
R31843	P31	R31975
R59154	P33043	L138911
R40015	TemplateComponentOccurrenceMin	L78035
R66448	P33142	L223106
R61281	P33130	L161447
R66839	P33143	L227799
R56899	P27	L119361
R67133	P33152	L231336
R63383	P33132	L186673
R25207	P27	L46602
R29028	P4012	R29020
R69072	P34056	R69090
R67132	P33148	L231320
R64416	P33144	L198745
R46149	P25012	L86433
R26128	P26	L241188
R53346	P31002	L98714
R65396	P2005	R63783
R64674	P33142	L201839
R57155	P28	L121753
R31289	P30	R11
R4993	P30	R135
R56793	P30	R50
R52189	TemplateComponentOccurrenceMin	L96269
R44732	P15414	R44735
R44500	P23137	L82832
R49623	TemplateComponentOccurrenceMin	L91000
R66951	P33146	L229146
R52369	HAS_RESULTS	R51054
R64521	P33145	L200006
R31263	P15416	R31262
R62271	P33131	L173328
R64830	P33145	L203693
R60537	P33138	L152527
R63239	P33136	L184949
R62364	P33137	L174450
R56930	P31005	L119645
R48376	P26009	L89683
R26677	METHOD	R26609
R66492	P33141	L223633
R61111	P33129	L159406
R53181	P29012	L97423
R56659	P30002	L117167
R60333	P33130	L150071
R53385	P9040	L98951
R30088	P29	L60226
R6529	P5035	L4931
R70055	P29009	R51248
R32861	P27	L67660
R34446	P27	L72550
R54439	P32	R54245
R70527	P27	L242308
R27788	P27	L56026
R60393	P33134	L150795
R58820	P33046	L135574
R65111	P33143	L207063
R62937	P33135	L181324
R33593	url	L69918
R54678	P27030	L106445
R62870	P2005	R60165
R66365	P33151	L222119
R55045	P32122	L109326
R28070	P27	L56522
R65430	P33142	L210890
R64484	P33141	L199558
R66774	P2005	R63783
R26050	P15107	L51176
R56291	P31	R56292
R65760	P33148	L214856
R33206	P15591	R33200
R55005	P30004	L108963
R64937	P33141	L204973
R26683	P15169	R26655
R59553	P33047	L142905
R70021	P27	L241660
R32880	P15530	L67836
R61135	P33137	L159702
R48220	TemplateComponentOrder	L89242
R63688	P33135	L190336
R54202	P27	L101861
R59477	P33048	L142146
R31716	P15453	L63774
R59195	P33050	L139328
R65643	P2005	R63783
R57802	P31023	L126583
R62591	P33136	L177173
R66118	P33152	L219156
R30488	P27	L60689
R28977	P27	L58579
R62914	P33137	L181050
R6429	P26	L240253
R54734	P27	L107018
R61718	P33136	L166697
R57097	P30	R50
R63832	P33147	L191740
R4610	HAS_RESULTS	L3361
R49371	P7037	R49474
R64817	P33146	L203538
R67142	P33152	L231444
R29183	P15334	R29154
R66689	P33150	L226006
R58577	P33049	L133147
R65363	P33148	L210092
R66023	P33148	L218012
R64672	P33150	L201823
R57663	P30001	L125061
R62491	P33137	L175974
R12273	P32	R38831
R30603	P32	R30583
R31989	P15484	L65122
R32944	P15583	L68844
R56774	P27	L118219
R61563	P33131	L164832
R33145	P32	R33101
R48221	TemplateComponentOccurrenceMax	L89244
R56354	P33011	L114513
R66347	P33148	L221900
R59899	P33082	L145906
R63149	P33135	L183868
R51267	P27	R55331
R59170	P33041	L139069
R58657	P33044	L133942
R65507	P2005	R63783
R31369	P32	R31303
